RowID,type,plateRow,plateCol,time,day,rep,Odvalue
119,Negative,1,2,3.5,2,2,0.1994399
120,Negative,1,2,3.5,3,2,0.215112126
121,Negative,1,2,3.75,1,2,0.281099413
122,Negative,1,2,3.75,2,2,0.237871319
123,Negative,1,2,3.75,3,2,0.243984334
124,Negative,1,2,4,1,2,0.325698629
125,Negative,1,2,4,2,2,0.276618931
126,Negative,1,2,4,3,2,0.278324715
127,Negative,1,2,4.25,1,2,0.361774919
128,Negative,1,2,4.25,2,2,0.31779825
129,Negative,1,2,4.25,3,2,0.32322379
130,Negative,1,2,4.5,1,2,0.419998436
131,Negative,1,2,4.5,2,2,0.343692928
132,Negative,1,2,4.5,3,2,0.362516025
133,Negative,1,2,4.75,1,2,0.47217023
134,Negative,1,2,4.75,2,2,0.388072855
135,Negative,1,2,4.75,3,2,0.379759314
136,Negative,1,2,5,1,2,0.526540178
137,Negative,1,2,5,2,2,0.427684417
138,Negative,1,2,5,3,2,0.451851317
139,Negative,1,2,5.25,1,2,0.583486007
140,Negative,1,2,5.25,2,2,0.483596643
141,Negative,1,2,5.25,3,2,0.516064372
142,Negative,1,2,5.5,1,2,0.63431676
143,Negative,1,2,5.5,2,2,0.540715279
144,Negative,1,2,5.5,3,2,0.538054162
145,Negative,1,2,5.75,1,2,0.676212838
146,Negative,1,2,5.75,2,2,0.580419478
147,Negative,1,2,5.75,3,2,0.53900439
148,Negative,1,2,6,1,2,0.709244257
149,Negative,1,2,6,2,2,0.60936122
150,Negative,1,2,6,3,2,0.546422656
151,Negative,1,3,0,1,3,0.004286564
152,Negative,1,3,0,2,3,0.014156331
153,Negative,1,3,0,3,3,0.004203718
154,Negative,1,3,0.25,1,3,0.005946635
155,Negative,1,3,0.25,2,3,0.023480251
156,Negative,1,3,0.25,3,3,0.018425823
157,Negative,1,3,0.5,1,3,0.010791764
158,Negative,1,3,0.5,2,3,0.026377076
159,Negative,1,3,0.5,3,3,0.023650505
160,Negative,1,3,0.75,1,3,0.01584459
161,Negative,1,3,0.75,2,3,0.035943625
162,Negative,1,3,0.75,3,3,0.032737984
163,Negative,1,3,1,1,3,0.023480251
164,Negative,1,3,1,2,3,0.045349847
165,Negative,1,3,1,3,3,0.036584903
166,Negative,1,3,1.25,1,3,0.030132216
167,Negative,1,3,1.25,2,3,0.055778294
168,Negative,1,3,1.25,3,3,0.034148279
169,Negative,1,3,1.5,1,3,0.037482745
170,Negative,1,3,1.5,2,3,0.074115764
171,Negative,1,3,1.5,3,3,0.049923481
172,Negative,1,3,1.75,1,3,0.046717794
173,Negative,1,3,1.75,2,3,0.093980186
174,Negative,1,3,1.75,3,3,0.040946113
175,Negative,1,3,2,1,3,0.061421215
176,Negative,1,3,2,2,3,0.122516313
177,Negative,1,3,2,3,3,0.069172826
178,Negative,1,3,2.25,1,3,0.077221722
179,Negative,1,3,2.25,2,3,0.154528058
180,Negative,1,3,2.25,3,3,0.064287855
181,Negative,1,3,2.5,1,3,0.098224349
182,Negative,1,3,2.5,2,3,0.190752939
183,Negative,1,3,2.5,3,3,0.09208643
184,Negative,1,3,2.75,1,3,0.132604185
185,Negative,1,3,2.75,2,3,0.247466108
186,Negative,1,3,2.75,3,3,0.111453078
187,Negative,1,3,3,1,3,0.158643322
188,Negative,1,3,3,2,3,0.28184706
189,Negative,1,3,3,3,3,0.131959311
190,Negative,1,3,3.25,1,3,0.195880154
191,Negative,1,3,3.25,2,3,0.327020864
192,Negative,1,3,3.25,3,3,0.156023928
193,Negative,1,3,3.5,1,3,0.233659812
194,Negative,1,3,3.5,2,3,0.376000445
195,Negative,1,3,3.5,3,3,0.198759231
196,Negative,1,3,3.75,1,3,0.278538029
197,Negative,1,3,3.75,2,3,0.429130368
198,Negative,1,3,3.75,3,3,0.240189127
199,Negative,1,3,4,1,3,0.309949919
200,Negative,1,3,4,2,3,0.482849511
201,Negative,1,3,4,3,3,0.26428721
202,Negative,1,3,4.25,1,3,0.342796933
203,Negative,1,3,4.25,2,3,0.547564938
204,Negative,1,3,4.25,3,3,0.285535862
205,Negative,1,3,4.5,1,3,0.395800097
206,Negative,1,3,4.5,2,3,0.600381589
207,Negative,1,3,4.5,3,3,0.301337364
208,Negative,1,3,4.75,1,3,0.44562063
209,Negative,1,3,4.75,2,3,0.651870118
210,Negative,1,3,4.75,3,3,0.374212184
211,Negative,1,3,5,1,3,0.50536706
212,Negative,1,3,5,2,3,0.696740501
213,Negative,1,3,5,3,3,0.391461909
214,Negative,1,3,5.25,1,3,0.562056512
215,Negative,1,3,5.25,2,3,0.737466489
216,Negative,1,3,5.25,3,3,0.456264076
217,Negative,1,3,5.5,1,3,0.614241494
218,Negative,1,3,5.5,2,3,0.770297745
219,Negative,1,3,5.5,3,3,0.48372119
220,Negative,1,3,5.75,1,3,0.654455498
221,Negative,1,3,5.75,2,3,0.797243819
222,Negative,1,3,5.75,3,3,0.490644523
223,Negative,1,3,6,1,3,0.695179202
224,Negative,1,3,6,2,3,0.785865429
225,Negative,1,3,6,3,3,0.526666548
226,J23107,1,4,0,1,1,0.014324989
227,J23107,1,4,0,2,1,0.01213555
228,J23107,1,4,0,3,1,0.005198872
229,J23107,1,4,0.25,1,1,0.020079831
230,J23107,1,4,0.25,2,1,0.014324989
231,J23107,1,4,0.25,3,1,0.013355739
232,J23107,1,4,0.5,1,1,0.022969611
233,J23107,1,4,0.5,2,1,0.011127442
234,J23107,1,4,0.5,3,1,0.015506646
235,J23107,1,4,0.75,1,1,0.031157228
236,J23107,1,4,0.75,2,1,0.016520896
237,J23107,1,4,0.75,3,1,0.016394047
238,J23107,1,4,1,1,1,0.039877158
239,J23107,1,4,1,2,1,0.018722496
240,J23107,1,4,1,3,1,0.02633444
241,J23107,1,4,1.25,1,1,0.049624308
242,J23107,1,4,1.25,2,1,0.02501323
243,J23107,1,4,1.25,3,1,0.024928025
244,J23107,1,4,1.5,1,1,0.061079075
245,J23107,1,4,1.5,2,1,0.035088649
246,J23107,1,4,1.5,3,1,0.038637175
247,J23107,1,4,1.75,1,1,0.07239429
248,J23107,1,4,1.75,2,1,0.036114629
249,J23107,1,4,1.75,3,1,0.040946113
250,J23107,1,4,2,1,1,0.088356022
251,J23107,1,4,2,2,1,0.04996622
252,J23107,1,4,2,3,1,0.047615447
253,J23107,1,4,2.25,1,1,0.112174242
254,J23107,1,4,2.25,2,1,0.060052803
255,J23107,1,4,2.25,3,1,0.065315368
256,J23107,1,4,2.5,1,1,0.138516833
257,J23107,1,4,2.5,2,1,0.067414597
258,J23107,1,4,2.5,3,1,0.075365559
259,J23107,1,4,2.75,1,1,0.17514411
260,J23107,1,4,2.75,2,1,0.089232218
261,J23107,1,4,2.75,3,1,0.100710555
262,J23107,1,4,3,1,1,0.212814288
263,J23107,1,4,3,2,1,0.108395046
264,J23107,1,4,3,3,1,0.126447756
265,J23107,1,4,3.25,1,1,0.264075088
266,J23107,1,4,3.25,2,1,0.155400558
267,J23107,1,4,3.25,3,1,0.16726159
268,J23107,1,4,3.5,1,1,0.307778249
269,J23107,1,4,3.5,2,1,0.17560324
270,J23107,1,4,3.5,3,1,0.173673062
271,J23107,1,4,3.75,1,1,0.35201746
272,J23107,1,4,3.75,2,1,0.215164597
273,J23107,1,4,3.75,3,1,0.216214087
274,J23107,1,4,4,1,1,0.405233848
275,J23107,1,4,4,2,1,0.254967414
276,J23107,1,4,4,3,1,0.250316999
277,J23107,1,4,4.25,1,1,0.470437206
278,J23107,1,4,4.25,2,1,0.30474365
279,J23107,1,4,4.25,3,1,0.288106057
280,J23107,1,4,4.5,1,1,0.528309678
281,J23107,1,4,4.5,2,1,0.329007329
